ID	taxonomy	Taxon	Taxon Level	Feeding	Lifestyle	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
Genus02760	Ascomycota;Pezizomycotina;Sordariomycetes;Discostroma	Discostroma	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	b'The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
Genus02763	Ascomycota;Pezizomycotina;Sordariomycetes;Dryadomyces	Dryadomyces	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02765	Ascomycota;Pezizomycotina;Sordariomycetes;Elaphocordyceps	Elaphocordyceps	13	Pathotroph	Fungal Parasite	NULL	NULL	Highly Probable	NULL	b'List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf)); Samuels GJ. 2007, self-published; Sung G-H, et al. 2007. Studies in Mycology 57:5-59.'
Genus02766	Ascomycota;Pezizomycotina;Sordariomycetes;Emarcea	Emarcea	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02767	Ascomycota;Pezizomycotina;Sordariomycetes;Emericellopsis	Emericellopsis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02768	Ascomycota;Pezizomycotina;Sordariomycetes;Endothia	Endothia	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Highly Probable	Syn. Cryphonectria; Chestnut blight fungus, Cryphonectria parasitica (Milgroom & Cortesi 2004)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02769	Ascomycota;Pezizomycotina;Sordariomycetes;Engyodontium	Engyodontium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02774	Ascomycota;Pezizomycotina;Sordariomycetes;Eutypa	Eutypa	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02775	Ascomycota;Pezizomycotina;Sordariomycetes;Eutypella	Eutypella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02777	Ascomycota;Pezizomycotina;Sordariomycetes;Farrowia	Farrowia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02781	Ascomycota;Pezizomycotina;Sordariomycetes;Fragosphaeria	Fragosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
